account,amount
0xc8D665f8453EBB6e0408F13BADe8FBE90c87b2D3,170000
0x332345477Db00239f88CA2Eb015B159750Cf3C44,88012.59657
0xaaF2F3A917e5AC907EFD9c0f3Fd752CC9d66dC08,84836.66922
0x29Faeb62f4e9E1456c2fEED5c6f27B13Fae91Dae,83440.37861
0x608a9358354A93581E686ac7fFdE9D5FADbcb7E0,82025.19314
0x9FbDE1512D2AeB2000866fa6F8A01E6Bc80559e0,70594.8222
0x47A7202A726324788609003549675F1dBC645b07,67318.89486
0x89c60C01F2E1d1b233253596bf1c2386bDfeB898,65594.8222
0x9E89a144F7c05EB0d258B61a71d00bCa79e42715,60000
0xf8279Bf46BF0a5ca756C84350332d987d6562950,45000
0x991b1aDe06d49454FD7A2cAeaf31F908e00d1c63,41525.15298
0x4D6654beeC5942aEe8E3102528a58fb34A0f1b19,41094.8222
0x7A6ff8906f68C0ceAfDd61C2E5d39834cF0b39F1,35164.45127
0x77FB99be6Caa5e2B5F41C4C680a622eC66521D28,35000
0xaC74fc7Db4C034Cf8D280AB2256c991BbDC8f1b7,35000
0xcE18A7452d57579d6c6b885B69B1978067Cd2D87,32700
0xFdE65eA7a7aF9B4fECD585db65e0b0394a2A55A7,30215.18547
0xE2301DaBBA35E886F4EC121F13AbCadF4632B90d,30000
0x78f625A65Fc316D32d98d249b698fb509A6d98f2,26894.8222
0x3f13c31474141f6912eed296220c0996c90253d2,26550
0xD4302bf70541bAfe3AC46bbfC3C7eebe20ccF7DB,24000
0x7D53BA1D70a66D572A90E3e80Ad4253769340EE7,21810.00767
0x902b13E46305E3AE10F70871C6D0bca9E5446b07,20810.00767
0xeC5041FBDc10166717D4a84287B02a6bED152e4B,20000
0x43492e8a862BaA9C9Fc505d95b9E67E21622Ff7a,19500
0x42B81011a367d3C7f4e4B570Fadd51209C93F287,17810.00767
0x5B228FCb60A95F7E749E00c4B88154FC17e706dD,17800
0x6bD68d667ECcEA663b2a2Bee1311F7AD6c817602,15364.45127
0x76Ae1e4e0D17dc32B0fe0478f3eD27C4Fe45D174,15000
0xB8abE31a6caF1217D632190559B2C1FD909178ec,13829.63673
0x4Ffb83A8344F33453fBEbe5e126534407ceb32f5,13094.8222
0xAB206fb4B72009C5c7e78c2a91b0B8E63fB73e34,13025.19314
0x290AA5081D6298C181949946893876A1B76Bf144,12810.00767
0x6A09c478559565B33849eFF37E26c455Bb61A9D0,12500
0x8429837A4d311a5B82215Fee1f96BDfCdEA9cD73,12000
0x909085925b6321e64f00b5b89a7604fd1dc2754b,12000
0xa03239b8C59Df2C79665D8cfbf3A6C1a9B2e5668,11000
0x913d7434A18F0ef40181B92a9603e0425ab0ADdf,10800
0x132E925e1F13E3a2E6f948E8a0aD0a1b99454af8,10600
0x2b597a38CCA6db6e934C44EF0Ebd800f015ce973,10000
0x9A9737e821bb216EF74Cd0E6b2Dd3E4FfF98C681,10000
0x27B503fd677dd889ea3E7804DF492D2D809E6052,9879.636735
0x4Ed2F7EaDd13CdC339b67F371610bf26224E4B98,9240.378612
0x42b0765b70af2b6910F6281b3dC0C34a9CdbB65c,9110.007673
0x8C913aEc7443FE2018639133398955e0E17FB0C1,8518.894857
0x632807db968a4aa363514c6cfdff2af155559f99,8000
0xD82f8fF7535330E300bA59AF61D7aCD1Bd6b35a1,8000
0xD9897E8b7a587ea154691199289f2341E0A1c20c,7000
0xAe0E344672A848a174AEC37Ce4144e05B80c440A,6500
0x796Ac058028f19974a4F8256F6B30FEdcc96537d,6394.822204
0x92D27113eC390579c24654ff340Ca5D2be9B32DF,6300
0xdaFE3083BD4865aDE8fEa183c0E058a585baB68b,6240.378612
0x4adF647E256B9B1e8086064437F6b404A5c7b421,6050
0x4564d5a8Bb409272F1FB4ae4c8b45fC0eaFd709D,6025.193143
0xb8aEe482305B7B219704350786FCE47847CEC996,6025.193143
0xc92a88E2d17887646A40ddb0DDBBBe5c2a72512c,6025.193143
0x68690C4cECF4245E09DC7E47148B6eFF70cB7061,6000
0x597F0fDBb96485CD258777248052fF0e4781FE4C,5810.007673
